All First Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Elehuris Montero 1B | COL ,169,21,38,24,8,1,5,22,12,56,0,0,.225,.281,.373,58
W ,"Troy Johnston 1B,OF | COL",112,12,31,24,2,1,4,13,8,26,2,2,.277,.331,.420,57
W ,Joey Gallo 1B | CHW ,168,21,29,13,6,0,10,22,27,81,1,1,.173,.294,.387,56
W ,Coby Mayo 1B | BAL ,152,17,30,18,6,0,6,14,16,53,2,0,.197,.282,.355,52
W ,"Curtis Mead 1B,2B,3B | CHW",148,16,35,27,5,1,2,10,9,38,2,0,.236,.296,.324,49
W ,Juan Yepez 1B | TOR ,95,12,25,17,5,0,3,9,7,21,1,1,.263,.317,.410,47
W ,Joey Votto 1B | TOR ,69,9,14,7,2,0,5,13,9,21,0,0,.203,.312,.449,43
W ,C.J. Cron 1B | BOS ,86,13,21,13,4,0,4,12,6,22,0,0,.244,.290,.430,42
W ,Tyler Nevin 1B | ATH,113,11,23,16,4,0,3,10,12,30,0,0,.203,.295,.319,38
W ,Nick Sogard 1B | BOS ,86,13,23,17,6,0,0,8,6,24,2,0,.267,.326,.337,38
W ,"Oswald Peraza 1B,2B,3B | LAA ",142,14,25,17,5,0,3,12,10,44,4,1,.176,.240,.275,36
W ,Sal Stewart 1B | CIN,55,11,14,8,1,0,5,8,3,15,0,0,.255,.293,.545,35
W ,Andres Chaparro 1B | WAS ,94,8,19,10,7,0,2,10,6,23,0,0,.202,.265,.340,35
W ,Blaine Crim 1B | COL ,65,10,13,6,2,0,5,12,6,28,0,0,.200,.270,.462,31
W ,Kole Calhoun 1B | CLE,52,6,11,7,2,0,2,8,4,12,0,0,.211,.276,.365,26
W ,Trey Mancini 1B | LAA ,78,10,18,13,4,0,1,9,7,26,0,0,.231,.299,.321,24
W ,Endy Rodriguez 1B | PIT,79,11,17,11,4,1,1,5,7,21,0,0,.215,.279,.329,24
W ,Matthew Batten 1B | ATL ,41,6,11,8,2,0,1,4,6,10,1,1,.268,.362,.390,22
W ,Nick Pratto 1B | TEX ,102,11,24,17,5,0,2,12,10,46,0,0,.235,.313,.343,22
W ,Matt Mervis 1B | WAS ,79,8,13,8,2,0,3,9,7,30,0,0,.165,.241,.304,17
W ,David Villar 1B | SF,60,7,10,4,4,0,2,6,5,21,0,0,.167,.250,.333,17
W ,Tyler Black 1B | MIL,28,2,6,4,2,0,0,2,6,9,2,0,.214,.353,.286,15
W ,Alfonso Rivas 1B | STL ,36,3,8,4,3,0,1,5,3,12,0,0,.222,.300,.389,14
W ,Tim Elko 1B | CHW ,67,6,9,4,1,0,4,8,5,30,1,0,.134,.194,.328,14
W ,Tyler Locklear 1B | ARI ,74,7,12,10,0,0,2,4,6,32,2,0,.162,.244,.243,11
W ,Bobby Seymour 1B | TB,78,9,16,13,1,1,1,5,4,32,1,0,.205,.253,.282,10
W ,Carter Kieboom 1B | CLE ,32,4,7,5,1,0,1,4,2,9,0,0,.219,.265,.344,10
W ,Jared Walsh 1B | CHW ,52,6,8,4,2,0,2,6,6,22,0,0,.154,.241,.308,10
W ,Matt Beaty 1B | KC,20,3,5,4,1,0,0,1,2,5,0,0,.250,.375,.300,9
W ,Jason Vosler 1B | SEA ,30,3,5,2,1,1,1,4,2,11,0,0,.167,.219,.367,9
W ,Niko Kavadas 1B | LAA ,56,6,10,7,1,0,2,4,7,26,0,0,.179,.281,.304,9
W ,Bligh Madris 1B | STL ,31,4,7,6,1,0,0,2,3,9,0,0,.226,.294,.258,8
W ,Drew Ellis 1B | PHI,8,1,2,1,0,0,1,1,2,2,0,0,.250,.400,.625,7
W ,Jake Lamb 1B | SF ,17,2,4,3,0,0,1,2,1,5,0,0,.235,.278,.412,7
W ,Austin Shenton 1B | SEA ,21,2,4,2,2,0,0,2,4,7,0,0,.191,.320,.286,7
W ,Brandon Dixon 1B | SD,26,3,5,3,1,0,1,3,0,10,0,0,.192,.214,.346,6
W ,Luke Voit 1B | NYM ,23,2,5,4,1,0,0,1,1,9,1,0,.217,.280,.261,5
W ,Matt Gorski 1B | LAD ,41,2,8,5,0,1,2,4,1,16,0,1,.195,.214,.390,4
W ,Bobby Dalbec 1B | CHW,50,5,8,5,2,0,1,3,5,26,1,0,.160,.236,.260,3
W ,Will Maddox 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,P.J. Higgins 1B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
