Free Agent Second Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Kyle Farmer 1B,2B | ATL ",333,35,79,48,23,0,8,42,25,72,2,1,.237,.302,.378,168
W ,"Javier Sanoja 2B,3B,OF | MIA",260,35,68,40,18,3,7,34,20,54,6,3,.262,.315,.435,165
W ,Brett Wisely 2B | ATL,328,33,80,53,20,1,6,43,24,76,6,3,.244,.298,.366,161
W ,"Kyren Paris 2B,OF | LAA ",316,44,69,39,14,3,13,37,28,113,11,3,.218,.293,.405,160
W ,"Nolan Gorman 2B,3B | STL ",379,49,83,48,17,2,16,50,47,147,3,1,.219,.305,.401,160
W ,"Ryan Ritter 2B,SS | COL ",317,41,80,55,16,3,6,35,23,87,8,3,.252,.313,.379,159
W ,"Amed Rosario 2B,3B | NYY",265,33,71,47,13,2,9,39,14,64,6,2,.268,.310,.434,156
W ,"Romy Gonzalez 1B,2B | BOS ",261,35,74,49,15,1,9,39,21,70,4,3,.283,.340,.452,156
W ,"Oswald Peraza 1B,2B,3B | LAA ",385,38,81,55,15,1,10,37,27,121,12,2,.210,.269,.333,148
W ,"Edouard Julien 1B,2B | COL",370,44,87,59,17,0,11,39,39,127,3,3,.235,.312,.370,141
W ,Leonardo Jimenez 2B | TOR,254,31,61,41,12,1,7,31,20,60,3,1,.240,.314,.378,135
W ,"Ezequiel Duran 1B,2B,SS | TEX",325,32,81,57,20,0,4,30,19,85,8,4,.249,.302,.348,135
W ,Brendan Rodgers 2B | BOS ,261,35,69,46,15,1,7,31,18,70,2,1,.264,.317,.410,129
W ,"Christian Koss 2B,SS | SF ",194,28,55,37,11,1,6,29,14,46,5,2,.283,.333,.443,126
W ,"Orlando Arcia 2B,3B,SS | MIN ",320,29,70,46,14,1,9,27,23,71,1,0,.219,.270,.353,125
W ,Brice Matthews 2B | HOU,190,26,51,34,9,1,7,25,16,42,5,1,.268,.333,.437,125
W ,Ryan Bliss 2B | SEA,192,24,49,32,10,1,6,24,17,44,7,3,.255,.324,.411,121
W ,Jose Fermin 2B | STL,190,23,50,33,11,1,5,24,17,41,5,1,.263,.329,.410,117
W ,Aaron Schunk 2B | ATL ,199,26,54,37,11,1,5,22,15,43,4,1,.271,.327,.412,115
W ,"Alex Freeland 2B,3B | LAD",192,26,49,32,9,2,6,24,19,49,3,1,.255,.327,.417,110
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",188,28,46,29,9,1,7,28,16,50,3,0,.245,.301,.415,110
W ,Shay Whitcomb 2B | HOU,189,24,50,34,10,1,5,21,16,42,4,1,.265,.327,.407,109
W ,Cesar Prieto 2B | STL ,191,23,49,34,9,1,5,21,15,45,5,1,.257,.316,.393,105
W ,Adael Amador 2B | COL ,156,17,39,25,9,1,4,18,14,37,3,2,.250,.314,.397,82
W ,Joey DeMichele 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,JJ Muno 2B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bryan Arias 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luis Urias 2B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Owen Miller 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Angel Arevalo 2B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ripken Reyes 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jaime Pedroza 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,David Gonzalez 2B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jimmy Allen 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle McPherson 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jacob Gonzalez 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bryson Ware 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ashton McGee 2B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jorel Ortega 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Rodriguez 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Termarr Johnson 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yolbert Sanchez 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brian Rey 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joey Pankake 2B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Reinaldo Ilarraza 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brantley Bell 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,"Will Wilson 2B,3B | SEA ",0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carlos Sepulveda 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Arroyo 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cesar Izturis Jr. 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Levi Michael 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Givin 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luigi Rodriguez 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jake Peter 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kevin Josephina 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cobie Vance 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dillon Persinger 2B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jean Walters 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Mattingly Romanin 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Armando Cruz 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Herard Gonzalez 2B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Wendell Rijo 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Harold Castro 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rougned Odor 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nate Easley 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Josh Owens 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Felix Morrobel 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Martin 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,L.J. Talley 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Reed Gragnani 2B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jalen Miller 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Colmenares 2B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Devers 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Winkler 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carlos Penalver 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Austin Upshaw 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,J.J. Franco 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alvaro Rubalcaba 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nick Lucky 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hutton Moyer 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alex De Goti 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tim Arakawa 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ambioris Tavarez 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jason Leblebijian 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ray Chang 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rikelbin De Castro 2B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ordomar Valdez 2B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Trent Farquhar 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Blake Butler 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hunter Stovall 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Spikes 2B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Stefanic 2B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,James Triantos 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luis Santana 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
