Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
DH,George Springer OF | TOR ,18,"DH,OF",406.0,347.0
2B,Marcus Semien 2B | NYM ,24,"2B,DH,SS",452.0,446.0
RES,Yordan Alvarez OF | HOU,29,"DH,OF",456.0,390.0
RES,Brandon Lowe 2B | PIT ,9,"2B,DH,OF",106.0,37.0
SP,Framber Valdez SP | DET ,15,SP,573.0,524.0
SP,Shane McClanahan SP | TB ,13,SP,532.0,480.0
SP,Hyun-Jin Ryu SP | TOR,4,SP,40.0,0.0
SP,Pablo Lopez SP | MIN ,6,SP,408.0,285.0
RES,Blake Snell SP | LAD ,5,SP,346.0,69.0
C,Keibert Ruiz C | WAS,5,"C,DH",200.0,119.0
RES,German Marquez SP | SD,1,SP,298.0,0.0
RES,Lance Lynn SP | ,4,SP,285.0,138.0
RP,Taylor Rogers RP | MIN ,3,RP,243.0,188.0
SS,Brendan Rodgers 2B | BOS ,1,"2B,DH,SS",278.0,105.0
RES,Mike Clevinger RP | PIT,7,SP,209.0,0.0
RES,Hunter Renfroe OF | KC,1,"DH,OF",283.0,0.0
RP,Matt Barnes RP | WAS,2,RP,77.0,0.0
RES,Spencer Torkelson 1B | DET ,3,"1B,DH",121.0,5.0
RES,Jarred Kelenic OF | CHW,1,"DH,OF",55.0,0.0
RES,Tarik Skubal SP | DET ,1,SP,282.0,108.0
Swing and a Miss 2020
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
3B,Manny Machado 3B | SD,39,"3B,DH",444.0,437.0
SP,Walker Buehler SP | SD ,66,SP,139.0,139.0
SP,Brandon Woodruff SP | MIL ,47,SP,475.0,454.0
C,Will Smith C | LAD,24,"C,DH",358.0,359.0
SP,Yu Darvish SP | SD ,25,SP,581.0,581.0
OF,Luis Robert OF | NYM ,27,"DH,OF",241.0,204.0
OF,Tyler O'Neill OF | BAL,10,"DH,OF",220.0,53.0
DH,Seiya Suzuki OF | CHC ,7,"DH,OF",222.0,120.0
1B,Joey Votto 1B | TOR,9,"1B,DH",146.0,75.0
RES,C.J. Cron 1B | BOS,4,"1B,DH",323.0,273.0
RES,A.J. Pollock LF | ,1,"DH,OF",241.0,0.0
SP,Jack Flaherty SP | DET,9,SP,57.0,3.0
RES,Chris Sale SP | ATL ,1,SP,8.0,8.0
