Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
DH,"Shohei Ohtani DH,SP | LAD ","60","DH,SP",607,156
SP,Dean Kremer SP | BAL,"1","RP,SP",339,154
SP,Ranger Suarez SP | BOS,"1",SP,400,296
SP,Mitch Keller SP | PIT,"1",SP,319,
The Mike Uhlenkamp Experience
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Kyle Tucker OF | LAD ,"41","DH,OF",465,461
RF,Ronald Acuna Jr. OF | ATL ,"35","DH,OF",285,167
DH,Yordan Alvarez OF | HOU,"44","DH,OF",110,57
3B,Alec Bohm 3B | PHI,"1","1B,3B,DH",250,223
CF,Mike Trout OF | LAA,"9","DH,OF",258,251
C,William Contreras C | MIL ,"14","C,DH",360,360
SP,George Kirby SP | SEA,"19",SP,302,309
SP,Tyler Glasnow SP | LAD,"27",SP,243,183
SP,Shane McClanahan SP | TB ,"21",SP,,
SP,Zac Gallen SP | ARI ,"22",SP,364,161
1B,Triston Casas 1B | BOS ,"8","1B,DH",28,8
RF,Lane Thomas OF | KC,"1","DH,OF",35,
SP,Roki Sasaki SP | LAD,"11","RP,SP",51,22
3B,Yoan Moncada 3B | LAA,"1","3B,DH",131,
2B,Zack Gelof 2B | ATH ,"1","2B,DH",4,
3B,"Ernie Clement 1B,2B,3B,SS | TOR","1","1B,2B,3B,DH,SS",311,
RP,Kris Bubic SP | KC ,"1","RP,SP",311,208
C,Logan O'Hoppe C | LAA ,"8","C,DH",117,44
C,Kyle Higashioka C | TEX ,"1","C,DH",154,
CF,Daulton Varsho OF | TOR ,"1","DH,OF",179,
C,Travis d'Arnaud C | LAA,"1","C,DH",49,
1B,Nolan Schanuel 1B | LAA,"1","1B,DH",307,
LF,"Luke Raley 1B,OF | SEA","1","1B,DH,OF",66,
Swing and a Miss 2020
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Fernando Tatis Jr. OF | SD,"41","DH,OF",496,496
SS,Elly De La Cruz SS | CIN,"50","DH,SS",404,404
1B,Bryce Harper 1B | PHI,"30","1B,DH",376,351
SP,Corbin Burnes SP | ARI ,"30",SP,170,69
2B,"Jose Altuve 2B,OF | HOU","18","2B,DH,OF",381,381
SP,Framber Valdez SP | DET ,"28",SP,453,453
SP,Spencer Schwellenbach SP | ATL ,"19",SP,317,317
RF,Lawrence Butler OF | ATH ,"12","DH,OF",311,153
SP,Dustin May SP | STL,"4","RP,SP",206,114
RP,Mason Miller RP | SD,"9",RP,293,128
3B,Ke'Bryan Hayes 3B | CIN,"3","3B,DH",213,
SP,Yu Darvish SP | SD ,"4",SP,126,
SP,"Kyle Hart SP,RP | SD ","1","RP,SP",66,
CF,Victor Scott II OF | STL,"1","DH,OF",236,48
SP,Jose Soriano SP | LAA ,"1",SP,320,56
C,Elias Diaz C | KC,"1","C,DH",82,
RP,Jhoan Duran RP | PHI ,"11",RP,340,239
RF,Mike Yastrzemski OF | ATL,"1","DH,OF",289,
C,Luis Campusano DH | SD,"1","C,DH",-5,
3B,Ryan McMahon 3B | NYY ,"1","3B,DH",182,
SP,Brandon Woodruff SP | MIL ,"1",SP,216,186
SP,Jesus Luzardo SP | PHI ,"3",SP,488,386
C,Sean Murphy C | ATL ,"1","C,DH",132,
CF,Heliot Ramos OF | SF,"2","DH,OF",309,185
Ireland
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
CF,Michael Harris OF | ATL ,"21","DH,OF",334,99
SS,Gunnar Henderson SS | BAL,"45","DH,SS",407,415
C,Adley Rutschman C | BAL,"16","C,DH",164,16
1B,Luis Arraez 1B | SF,"17","1B,2B,DH",412,354
RP,Devin Williams RP | NYM ,"12",RP,216,47
SP,Max Fried SP | NYY ,"22",SP,566,566
LF,Jasson Dominguez OF | NYY ,"16","DH,OF",242,50
SP,Hunter Brown SP | HOU ,"21",SP,561,561
CF,Cedric Mullins OF | TB ,"10","DH,OF",277,207
RF,"Alec Burleson 1B,OF | STL","3","1B,DH,OF",318,70
CF,Brenton Doyle OF | COL ,"14","DH,OF",244,27
SP,Carlos Rodon SP | NYY ,"15",SP,558,495
SP,Nestor Cortes SP | SD ,"10",SP,30,14
3B,Eugenio Suarez 3B | CIN,"7","3B,DH",361,265
LF,Jurickson Profar OF | ATL ,"9","DH,OF",254,198
RP,Tanner Scott RP | LAD,"9",RP,173,48
C,Cal Raleigh C | SEA,"15","C,DH",534,446
RF,Wilyer Abreu OF | BOS ,"1","DH,OF",241,69
SP,Charlie Morton SP | ATL,"1","RP,SP",192,
C,Patrick Bailey C | SF,"1","C,DH",124,
RF,Tommy Pham OF | PIT,"1","DH,OF",203,
C,Danny Jansen C | TEX,"1","C,DH",137,
LF,Andrew Benintendi OF | CHW ,"1","DH,OF",259,
RF,Adolis Garcia OF | PHI,"7","DH,OF",262,12
Sarre
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Juan Soto OF | NYM,"48","DH,OF",629,629
SP,Dylan Cease SP | TOR,"27",SP,349,326
SP,Pablo Lopez SP | MIN ,"25",SP,191,96
SP,Luis Castillo SP | SEA,"22",SP,426,426
3B,"Jordan Westburg 2B,3B | BAL ","11","2B,3B,DH",188,112
SP,Chris Bassitt SP | BAL,"6",SP,349,286
SS,"Carlos Correa 3B,SS | HOU ","4","3B,DH,SS",240,82
3B,Nolan Arenado 3B | ARI,"5","3B,DH",232,195
C,Gabriel Moreno C | ARI ,"5","C,DH",183,11
RF,Starling Marte DH | KC,"2","DH,OF",173,20
2B,Xander Bogaerts SS | SD,"7","2B,DH,SS",308,281
RP,Ryan Helsley RP | BAL ,"3",RP,169,169
LF,"Brendan Donovan 2B,OF | SEA ","7","2B,DH,OF,SS",288,212
RF,Seiya Suzuki OF | CHC ,"5","DH,OF",366,327
C,Shea Langeliers C | ATH ,"1","C,DH",341,268
2B,Bryson Stott 2B | PHI,"5","2B,DH,SS",350,34
SP,Sean Manaea SP | NYM ,"2","RP,SP",98,2
3B,Matt Shaw 3B | CHC ,"3","3B,DH",234,18
2B,"Andres Gimenez 2B,SS | TOR","5","2B,DH,SS",175,
C,Ryan Jeffers C | MIN,"1","C,DH",213,
SP,Spencer Arrighetti SP | HOU,"7",SP,38,
C,Tyler Stephenson C | CIN,"6","C,DH",134,
3B,"Luis Rengifo 2B,3B | MIL","5","2B,3B,DH,OF",197,36
