Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
2B,Marcus Semien 2B | NYM ,24,"2B,DH,SS",536.0,536.0
C,J.T. Realmuto C | PHI ,13,"C,DH",299.0,299.0
3B,Bobby Witt SS | KC,29,"3B,DH,SS",541.0,539.0
RP,Josh Hader RP | HOU ,9,RP,324.0,138.0
SP,Tyler Glasnow SP | LAD,7,SP,353.0,249.0
RP,Emmanuel Clase RP | CLE ,3,RP,317.0,168.0
OF,Corbin Carroll OF | ARI ,5,"DH,OF",578.0,342.0
OF,Daulton Varsho OF | TOR ,8,"C,DH,OF",284.0,84.0
SP,Logan Gilbert SP | SEA,6,SP,494.0,414.0
RES,Bryce Harper 1B | PHI,8,DH,378.0,291.0
SP,Luis Garcia SP | HOU ,4,SP,62.0,-2.0
RES,Adolis Garcia OF | PHI,2,"DH,OF",407.0,229.0
RES,Drew Rasmussen SP | TB,3,SP,130.0,10.0
RES,Patrick Sandoval SP | BOS,2,SP,227.0,0.0
RES,George Kirby SP | SEA,6,SP,493.0,463.0
RES,Reid Detmers RP | LAA ,2,SP,269.0,10.0
Swing and a Miss 2020
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SP,Corbin Burnes SP | ARI ,48,SP,503.0,503.0
OF,George Springer OF | TOR ,20,"DH,OF",402.0,401.0
SS,Fernando Tatis Jr. OF | SD,40,"DH,SS",413.0,408.0
SP,Julio Urias SP | LAD,42,SP,271.0,240.0
DH,Bo Bichette SS | NYM,32,"DH,SS",323.0,322.0
OF,Randy Arozarena OF | SEA ,17,"DH,OF",410.0,410.0
2B,"Jazz Chisholm 2B,3B | NYY ",7,"2B,DH",232.0,89.0
SP,Lucas Giolito SP | BOS,5,SP,346.0,244.0
OF,Charlie Blackmon RF | ,1,"DH,OF",259.0,63.0
1B,Ty France 1B | SD ,2,"1B,DH",313.0,216.0
SP,Alex Cobb SP | DET ,3,SP,296.0,265.0
3B,Josh Jung 3B | TEX ,1,"3B,DH",244.0,242.0
C,Keibert Ruiz C | WAS,1,"C,DH",301.0,237.0
RES,Triston Casas 1B | BOS ,5,"1B,DH",276.0,63.0
RP,Hunter Brown SP | HOU ,1,RP,297.0,118.0
RES,Elias Diaz C | KC,1,"C,DH",220.0,52.0
RES,Jack Flaherty SP | DET,1,SP,218.0,84.0
RES,Roansy Contreras RP | COL,1,SP,63.0,1.0
RES,Nick Gordon OF | BAL,1,"2B,DH,OF,SS",37.0,0.0
RES,Paul Sewald RP | ARI,1,RP,313.0,267.0
Ireland
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SP,Gerrit Cole SP | NYY ,52,SP,650.0,650.0
DH,"Shohei Ohtani DH,SP | LAD ",51,"DH,SP",525.0,508.0
OF,Nick Castellanos OF | SD ,13,"DH,OF",368.0,267.0
OF,Kyle Tucker OF | LAD ,39,"DH,OF",576.0,576.0
3B,Austin Riley 3B | ATL ,32,"3B,DH",424.0,422.0
OF,Giancarlo Stanton OF | NYY ,9,"DH,OF",178.0,136.0
2B,"Jose Altuve 2B,OF | HOU",13,"2B,DH",319.0,210.0
C,"Salvador Perez C,1B | KC",4,"C,DH",259.0,239.0
1B,"Miguel Vargas 1B,3B | CHW",7,"1B,DH",140.0,20.0
RES,Ketel Marte 2B | ARI,1,"2B,DH",425.0,290.0
RP,Devin Williams RP | NYM ,4,RP,387.0,387.0
RES,Mitch Haniger OF | SEA,1,"DH,OF",83.0,0.0
RES,Eddie Rosario DH | MIL,2,"DH,OF",263.0,-5.0
SP,Tony Gonsolin SP | LAD ,3,SP,181.0,99.0
SP,Triston McKenzie RP | SD ,3,SP,12.0,0.0
RES,Ryan McMahon 3B | NYY ,1,"3B,DH",244.0,0.0
RES,Thairo Estrada 2B | BAL,2,"2B,DH,OF,SS",277.0,176.0
RES,Christian Walker 1B | HOU ,4,"1B,DH",450.0,400.0
Sarre
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
